ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-10T22:49:29,160,,14.18,cuda:0,8,22
2025-08-10T22:49:34,128,,11.49,cuda:0,8,22
2025-08-10T22:49:40,288,,12.93,cuda:0,8,22
2025-08-10T22:49:44,240,,11.24,cuda:0,8,22
2025-08-10T22:49:51,400,,12.18,cuda:0,8,22
2025-08-10T22:49:55,368,,11.32,cuda:0,8,22
2025-08-10T22:50:01,512,,11.8,cuda:0,8,22
2025-08-10T22:50:11,704,,13.17,cuda:0,8,22
2025-08-10T22:50:22,912,,14.3,cuda:0,8,22
2025-08-10T22:50:24,448,,7.31,cuda:0,8,22
2025-08-10T22:50:32,1056,,14.25,cuda:0,8,22
2025-08-10T22:50:35,592,,8.21,cuda:0,8,22
2025-08-10T22:50:43,1184,,13.99,cuda:0,8,22
2025-08-10T22:50:46,720,,8.61,cuda:0,8,22
2025-08-10T22:50:54,1280,,13.32,cuda:0,8,22
2025-08-10T22:50:58,816,,8.57,cuda:0,8,22
2025-08-10T22:51:04,1360,,12.79,cuda:0,8,22
2025-08-10T22:51:09,912,,8.53,cuda:0,8,22
2025-08-10T22:51:16,1456,,12.38,cuda:0,8,22
2025-08-10T22:51:22,992,,8.31,cuda:0,8,22
2025-08-10T22:51:27,1568,,12.19,cuda:0,8,22
2025-08-10T22:51:33,1088,,8.35,cuda:0,8,22
2025-08-10T22:51:38,1664,,11.92,cuda:0,8,22
2025-08-10T22:51:44,1184,,8.37,cuda:0,8,22
2025-08-10T22:51:49,1760,,11.68,cuda:0,8,22
2025-08-10T22:51:55,1280,,8.4,cuda:0,8,22
2025-08-10T22:52:00,1856,,11.47,cuda:0,8,22
2025-08-10T22:52:06,1376,,8.43,cuda:0,8,22
2025-08-10T22:52:10,1952,,11.34,cuda:0,8,22
2025-08-10T22:52:17,1488,,8.54,cuda:0,8,22
2025-08-10T22:52:21,2064,,11.26,cuda:0,8,22
2025-08-10T22:52:28,1600,,8.65,cuda:0,8,22
2025-08-10T22:52:32,2176,,11.21,cuda:0,8,22
2025-08-10T22:52:38,1712,,8.75,cuda:0,8,22
2025-08-10T22:52:43,2288,,11.17,cuda:0,8,22
2025-08-10T22:52:49,1824,,8.84,cuda:0,8,22
2025-08-10T22:52:54,2400,,11.13,cuda:0,8,22
2025-08-10T22:53:00,1936,,8.91,cuda:0,8,22
2025-08-10T22:53:04,2512,,11.1,cuda:0,8,22
2025-08-10T22:53:10,2048,,8.99,cuda:0,8,22
2025-08-10T22:53:15,2624,,11.07,cuda:0,8,22
