ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-11T02:27:51,64,,6.14,cuda:0,11,26
2025-08-11T02:27:56,48,,4.71,cuda:0,11,26
2025-08-11T02:28:03,128,,5.69,cuda:0,11,26
2025-08-11T02:28:08,112,,5.06,cuda:0,11,26
2025-08-11T02:28:15,192,,5.56,cuda:0,11,26
2025-08-11T02:28:19,176,,5.25,cuda:0,11,26
2025-08-11T02:28:27,256,,5.51,cuda:0,11,26
2025-08-11T02:28:31,240,,5.3,cuda:0,11,26
2025-08-11T02:28:38,320,,5.51,cuda:0,11,26
2025-08-11T02:28:42,304,,5.33,cuda:0,11,26
2025-08-11T02:28:50,384,,5.5,cuda:0,11,26
2025-08-11T02:28:54,368,,5.37,cuda:0,11,26
2025-08-11T02:29:02,448,,5.46,cuda:0,11,26
2025-08-11T02:29:05,432,,5.4,cuda:0,11,26
2025-08-11T02:29:13,512,,5.49,cuda:0,11,26
2025-08-11T02:29:17,496,,5.45,cuda:0,11,26
2025-08-11T02:29:25,576,,5.52,cuda:0,11,26
2025-08-11T02:29:28,560,,5.45,cuda:0,11,26
2025-08-11T02:29:36,640,,5.52,cuda:0,11,26
2025-08-11T02:29:39,624,,5.48,cuda:0,11,26
2025-08-11T02:29:46,704,,5.58,cuda:0,11,26
2025-08-11T02:29:51,704,,5.59,cuda:0,11,26
2025-08-11T02:29:57,768,,5.63,cuda:0,11,26
2025-08-11T02:30:02,768,,5.62,cuda:0,11,26
2025-08-11T02:30:07,832,,5.65,cuda:0,11,26
2025-08-11T02:30:13,832,,5.63,cuda:0,11,26
2025-08-11T02:30:18,880,,5.58,cuda:0,11,26
2025-08-11T02:30:25,864,,5.42,cuda:0,11,26
2025-08-11T02:30:30,912,,5.38,cuda:0,11,26
2025-08-11T02:30:37,896,,5.23,cuda:0,11,26
2025-08-11T02:30:42,944,,5.2,cuda:0,11,26
2025-08-11T02:30:49,928,,5.06,cuda:0,11,26
2025-08-11T02:30:54,976,,5.04,cuda:0,11,26
2025-08-11T02:31:03,960,,4.87,cuda:0,11,26
2025-08-11T02:31:09,1008,,4.82,cuda:0,11,26
2025-08-11T02:31:19,992,,4.65,cuda:0,11,26
2025-08-11T02:31:23,1040,,4.66,cuda:0,11,26
