frame,step,reward,total_reward,done
12h,10,-2.2360,-20.3873,[False]
12h,20,1.9855,-10.3224,[False]
12h,30,13.5020,37.9888,[False]
12h,40,38.7779,32.3245,[False]
12h,50,1.6257,-70.6559,[False]
12h,60,102.1266,-212.1682,[False]
12h,70,-7.2629,-235.3348,[False]
12h,80,20.8446,-276.8526,[False]
12h,90,10.9096,-183.2235,[False]
12h,100,14.5064,-205.1907,[False]
12h,110,-2.3986,-84.0678,[False]
12h,120,98.5883,193.3684,[False]
12h,130,115.0422,369.2601,[False]
12h,140,71.9370,248.6500,[False]
12h,150,-3.0619,257.4641,[False]
12h,160,81.8793,583.8921,[False]
12h,170,-1.2641,481.3490,[False]
12h,180,26.9678,453.4763,[False]
12h,190,85.9189,725.3291,[False]
12h,200,-1.0116,723.5608,[False]
12h,210,-326.5180,1134.3123,[False]
12h,220,124.2849,1366.6556,[False]
12h,230,-22.9556,2111.4094,[False]
12h,240,48.7992,2513.3909,[False]
12h,250,13.2655,3236.4224,[False]
12h,260,232.6015,2692.3333,[False]
12h,270,-0.3514,2666.3525,[False]
12h,280,37.0174,2860.9661,[False]
12h,290,-33.3757,2658.0239,[False]
12h,300,-5.6089,2454.5430,[False]
12h,310,-64.3209,2112.4507,[False]
12h,320,93.8444,1920.2343,[False]
12h,330,-33.1391,2103.1926,[False]
12h,340,101.9371,1479.9189,[False]
12h,350,-64.8057,1218.7139,[False]
12h,360,-76.0068,1431.4076,[False]
12h,370,-65.0484,1854.3816,[False]
12h,380,134.1785,1855.4363,[False]
12h,390,-2.0464,1906.8264,[False]
12h,400,-0.6100,2174.2649,[False]
12h,410,16.6679,1397.6803,[False]
12h,420,1.4039,1315.4205,[False]
12h,430,-6.0093,1309.4911,[False]
12h,440,-20.4552,1260.6589,[False]
12h,450,-14.7352,1057.5472,[False]
12h,460,-22.0836,1041.8657,[False]
12h,470,-46.2035,980.4058,[False]
12h,480,46.0904,1491.9972,[False]
12h,490,4.7093,1556.3107,[False]
12h,500,185.9934,2010.3870,[False]
12h,510,-45.8532,2137.9060,[False]
12h,520,7.6438,2407.0386,[False]
12h,530,0.4866,2104.7510,[False]
12h,540,-17.9362,1933.0342,[False]
12h,550,38.5657,1889.7347,[False]
12h,560,-15.7783,1687.0980,[False]
12h,570,48.3601,1676.0781,[False]
12h,580,28.9394,1779.3208,[False]
12h,590,-34.5833,1699.5172,[False]
12h,600,-19.2515,1375.5719,[False]
12h,610,-6.1198,1364.3895,[False]
12h,620,16.9714,1169.6646,[False]
12h,630,-3.0173,1156.0057,[False]
12h,640,-14.4274,1316.4758,[False]
12h,650,-10.1945,1381.0458,[False]
12h,660,-1.3501,1182.4429,[False]
